Filename;Width;Height;Roi.X1;Roi.Y1;Roi.X2;Roi.Y2;ClassId
00018_00016.ppm;54;51;5;6;49;46;31
00021_00029.ppm;117;116;11;10;107;106;31
00013_00020.ppm;48;48;5;6;43;43;31
00008_00015.ppm;49;45;5;5;44;40;31
00008_00004.ppm;38;37;6;6;33;32;31
00020_00001.ppm;30;31;5;6;25;26;31
00010_00020.ppm;46;44;5;6;40;38;31
00001_00007.ppm;43;40;6;6;38;35;31
00002_00016.ppm;55;52;5;6;50;47;31
00025_00000.ppm;36;35;5;6;31;30;31
00013_00009.ppm;34;35;6;6;29;30;31
00000_00012.ppm;51;45;6;6;46;40;31
00012_00008.ppm;42;36;6;5;36;31;31
00004_00013.ppm;47;41;6;6;42;36;31
00019_00021.ppm;64;59;5;5;59;54;31
00005_00014.ppm;41;41;5;6;36;36;31
00014_00022.ppm;81;73;8;7;74;67;31
00014_00004.ppm;39;39;5;6;34;34;31
00016_00020.ppm;57;54;5;5;51;48;31
00005_00024.ppm;55;53;6;6;50;48;31
00017_00020.ppm;97;88;8;8;89;81;31
00015_00004.ppm;45;40;6;5;40;35;31
00001_00000.ppm;37;35;5;6;32;30;31
00016_00012.ppm;41;39;5;5;36;34;31
00005_00025.ppm;58;56;5;6;53;51;31
00006_00007.ppm;33;33;6;6;28;28;31
00000_00010.ppm;51;44;6;5;46;39;31
00015_00000.ppm;41;37;6;5;36;32;31
00011_00004.ppm;34;34;6;6;29;29;31
00017_00029.ppm;164;148;14;13;150;136;31
00002_00027.ppm;120;116;10;11;110;106;31
00016_00013.ppm;44;41;6;5;39;36;31
00009_00011.ppm;45;42;5;5;40;37;31
00015_00025.ppm;75;69;6;6;69;63;31
00002_00018.ppm;63;57;6;6;58;52;31
00012_00019.ppm;58;53;6;6;53;48;31
00011_00025.ppm;59;59;6;6;54;53;31
00004_00008.ppm;38;35;5;5;33;30;31
00023_00024.ppm;68;63;6;6;62;58;31
00013_00012.ppm;36;37;5;5;30;32;31
00019_00024.ppm;71;64;6;5;65;59;31
00004_00000.ppm;35;30;6;5;30;25;31
00004_00023.ppm;68;57;7;6;62;52;31
00001_00002.ppm;39;37;5;6;34;32;31
00019_00018.ppm;59;55;5;6;53;50;31
00015_00024.ppm;73;67;6;6;67;61;31
00017_00013.ppm;75;65;7;5;68;59;31
